2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/cert_util.php ], Line[37]------ 读取签名证书…… 
2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/cert_util.php ], Line[62]------ 签名证书读取成功，序列号：68759663125 
2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/acpService.class.php ], Line[23]------ =====签名报文开始====== 
2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/acpService.class.php ], Line[29]------ 签名key=val&...串 >accessType=0&backUrl=http://222.222.222.222/upacp_demo_app/demo/api_05_app/BackReceive.php&bizType=000201&certId=68759663125&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://localhost:8085/upacp_demo_app/demo/api_05_app/FrontReceive.php&merId=777290058110048&orderId=1111&signMethod=01&txnAmt=100&txnSubType=01&txnTime=20160709000407&txnType=01&version=5.0.0 
2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/acpService.class.php ], Line[32]------ 摘要sha1x16 >1b7c3c1897923f21e56318e635bc0e1f168364b0 
2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/acpService.class.php ], Line[40]------ 签名串为 >aOUlcWfEAqmGgEQvBi03Tm1oCwHRPAIXxgEvmYaY3wlFx1MmXI2Xm0aheqC9MVlh6JsMrtpASiWjRRh370YnjUCPQvg5hDAgtM3WDp8UBAc2P194AQ+IRl6Kt3Yv1o2BThEGnVRmEqoyftoJK2HQggnqJZPMHaW1Amhoju2KUHp6L+i6vf6cuIKKLuLzqjxrf1BYUDXqFglLcgBSbIo5g4/MUyG5nS7iRuTGgjwjMQkZ51kJrenZQ1aNUe2NAPvJS9ycIma191WHFa4Mu9OAFIFrrrptf/nYam+cfr7P91EMJBTUwYI7GObwScUnYoyyU529fCNXpKCVt18mSzc25Q== 
2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/acpService.class.php ], Line[45]------ =====签名报文结束====== 
2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/acpService.class.php ], Line[102]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/acpService.class.php ], Line[103]------ 后台请求报文为>version=5.0.0&encoding=utf-8&txnType=01&txnSubType=01&bizType=000201&frontUrl=http%3A%2F%2Flocalhost%3A8085%2Fupacp_demo_app%2Fdemo%2Fapi_05_app%2FFrontReceive.php&backUrl=http%3A%2F%2F222.222.222.222%2Fupacp_demo_app%2Fdemo%2Fapi_05_app%2FBackReceive.php&signMethod=01&channelType=08&accessType=0&currencyCode=156&merId=777290058110048&orderId=1111&txnTime=20160709000407&txnAmt=100&certId=68759663125&signature=aOUlcWfEAqmGgEQvBi03Tm1oCwHRPAIXxgEvmYaY3wlFx1MmXI2Xm0aheqC9MVlh6JsMrtpASiWjRRh370YnjUCPQvg5hDAgtM3WDp8UBAc2P194AQ%2BIRl6Kt3Yv1o2BThEGnVRmEqoyftoJK2HQggnqJZPMHaW1Amhoju2KUHp6L%2Bi6vf6cuIKKLuLzqjxrf1BYUDXqFglLcgBSbIo5g4%2FMUyG5nS7iRuTGgjwjMQkZ51kJrenZQ1aNUe2NAPvJS9ycIma191WHFa4Mu9OAFIFrrrptf%2FnYam%2Bcfr7P91EMJBTUwYI7GObwScUnYoyyU529fCNXpKCVt18mSzc25Q%3D%3D 
2016-07-09 0:04:07, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/acpService.class.php ], Line[117]------ 后台返回结果为>txnType=01&respCode=10&frontUrl=http://localhost:8085/upacp_demo_app/demo/api_05_app/FrontReceive.php&channelType=08&currencyCode=156&merId=777290058110048&txnSubType=01&txnAmt=100&version=5.0.0&signMethod=01&backUrl=http://222.222.222.222/upacp_demo_app/demo/api_05_app/BackReceive.php&certId=68759585097&encoding=utf-8&respMsg=[9100003]Invalid field[orderId]&bizType=000201&signature=I6HNcjn2yB8QnADpbny3wlII/Rwab8L+1cvm1v/meZ+bCKJxNd/bL6BB5hy00WfaCNxc+oayMg0kSe8lkQfmh3NYNEJtzhG+aorqdo3H7SnQxIQ+H9L+i3Z6RMcv4f1sOrrShYyyb6Ka1+lMMUu8f3BviEt5Oy8afLafBGvuj86k4Zvdr2gWh2Uare/e2Nfo+MLCkxATKiETsDD9U7uwNJMmnfRehNllmiUTZntG+EeqsKMeq0KxUGSxojV5vtW4d3BDLCa41gPWr6sYqRWBB0rSqamZ8dVfGEnQyeFBZzhYwWlC6YUrh3J48XH18FAxzjxlpdtqML3Y660gMWwxwA==&orderId=1111&txnTime=20160709000407&accessType=0 
2016-07-09 0:08:06, INFO, ::1, File[ /Library/WebServer/Documents/xiaoxionghui/SDK/unionpay/sdk/cert_util.php ], Line[37]------ 读取签名证书…… 
